,sa1,sa2,closing_date,list_price,sold_price,prop_type,year_built,sq_ft,bedrooms,bathrooms,sub_div,sub_area,taxes,school_district,garage_spaces,parking_spaces,basement,hoa_fees,financial_terms
1574,25430 Rainbow Ridge,"Steamboat Springs, CO 80487","Aug 07, 2020","$2,395,000","$2,295,000",Single Family Residential,2001,5832,5,5,Creek Ranch,Creek Ranch,"$9,999",Steamboat Springs RE-2,5,5,"Full, Finished, Walk-Out Access","$1,160",Conventional
1575,3625 Cloverleaf Drive,"Boulder, CO 80304","Jan 29, 2021","$2,400,000","$2,292,500",Single Family Residential,1963,3466,5,4,Melody Heights,Melody Heights,"$3,736",Boulder Valley RE 2,2,2,Full,,
1576,6518 Daylilly Court,"Niwot, CO 80503","Sep 25, 2020","$2,375,000","$2,290,000",Single Family Residential,2012,8033,6,8,Somerset Estates,Somerset Estates,"$13,266",St. Vrain Valley RE-1J,6,6,"Daylight, Full, Sump Pump",$675,"Cash, Conventional"
1577,28300 Skyline Drive,"Steamboat Springs, CO 80487","Dec 07, 2020","$2,500,000","$2,290,000",Single Family Residential,2000,6068,4,6,Big Valley Ranch,Big Valley Ranch,"$9,482",Steamboat Springs RE-2,2,2,"Full, Finished, Walk-Out Access","$1,735",Conventional
1578,5771 S Aspen Court,"Greenwood Village, CO 80121","Aug 03, 2020","$2,300,000","$2,290,000",Single Family Residential,1998,6385,6,5,The Preserve,The Preserve,"$13,775",Littleton 6,4,4,"Exterior Entry, Finished, Walk-Out Access",$600,Cash
1579,1858 Kerr Gulch Road,"Evergreen, CO 80439","Oct 28, 2020","$2,350,000","$2,290,000",Single Family Residential,2009,7817,5,6,Kerr Gulch,Kerr Gulch,"$10,960",Jefferson County R-1,3,3,"Full, Bath/Stubbed, Walk-Out Access",,Cash
1580,195 Arnica Lane,"Silverthorne, CO 80498","Nov 24, 2020","$2,337,500","$2,290,000",Single Family Residential,2006,5033,4,7,Eagles Nest Golf Course Sub,Eagles Nest Golf Course Sub,"$7,936",Summit RE-1,3,3,Partial,$200,Conventional
1581,6518 Daylilly Court,"Niwot, CO 80503","Sep 25, 2020","$2,375,000","$2,290,000",Single Family Residential,2008,8033,6,8,Somerset Estates,Somerset Estates,"$13,266",St. Vrain Valley RE-1J,8,8,"Full, Sump Pump",$675,Conventional
1582,250 Jasmine Street,"Denver, CO 80220","Mar 20, 2020","$2,350,000","$2,290,000",Single Family Residential,2003,6870,6,5,Crestmoor,Crestmoor,"$9,258",Denver 1,2,2,"Full, Finished, Interior Entry, Sump Pump",,Cash
1583,28868 Falling Star Trail,"Evergreen, CO 80439","Jul 16, 2018","$2,295,000","$2,290,000",Single Family Residential,2005,6765,6,7,Kerr Gulch,Kerr Gulch,"$11,165",Jefferson County R-1,3,3,"Exterior Entry, Full, Finished, Walk-Out Access, Heated",,Conventional
1584,2864 E Highway 36,"Estes Park, CO 80517","Dec 15, 2020","$2,490,000","$2,287,000",Single Family Residential,2001,5876,4,4,,,"$6,256",Estes Park R-3,7,7,Full,,
1585,2735 6th Street,"Boulder, CO 80304","May 06, 2020","$2,350,000","$2,285,000",Single Family Residential,2017,3108,4,3,Newlands,Newlands,,Boulder Valley RE 2,2,2,None,,"Cash, Conventional"
1586,3305 4th Street,"Boulder, CO 80304","Jun 26, 2020","$2,195,000","$2,285,000",Single Family Residential,1928,3774,4,4,Newlands,Newlands,"$11,593",Boulder Valley RE 2,1,1,Walk-Out Access,,"Cash, Conventional"
1587,3305 4th Street,"Boulder, CO 80304","Jun 26, 2020","$2,195,000","$2,285,000",Single Family Residential,1928,3774,4,4,Newlands,Newlands,"$11,593",Boulder Valley RE 2,1,1,Walk-Out Access,,Cash
1588,2365 S Columbine Street,"Denver, CO 80210","Jul 31, 2020","$2,395,000","$2,285,000",Single Family Residential,2019,6064,6,7,Observatory Park,Observatory Park,"$6,987",Denver 1,3,3,"Full, Finished, Sump Pump",,Conventional
1589,4791 Tule Lake Drive,"Littleton, CO 80123","Mar 06, 2020","$2,465,000","$2,285,000",Single Family Residential,1971,7776,5,5,Bow Mar South,Bow Mar South,"$9,939",Littleton 6,3,3,"Exterior Entry, Full, Finished, Walk-Out Access, Heated",$810,Conventional
1590,2735 6th Street,"Boulder, CO 80304","May 06, 2020","$2,350,000","$2,285,000",Single Family Residential,2017,3108,4,3,Newlands,Newlands,"$9,914",Boulder Valley RE 2,2,2,,,Conventional
1591,3330 E 7th Avenue Parkway,"Denver, CO 80206","Mar 15, 2019","$2,500,000","$2,285,000",Single Family Residential,1920,4954,5,4,7th Avenue,7th Avenue,"$11,128",Denver 1,3,3,"Full, Finished, Interior Entry, Heated",,Cash
1592,20 Polo Club Drive,"Denver, CO 80209","Jan 19, 2021","$2,500,000","$2,280,000",Single Family Residential,1965,5529,4,5,Polo Club,Polo Club,"$9,213",Denver 1,3,3,"Exterior Entry, Finished, Partial, Walk-Out Access",$936,Conventional
1593,1558 Cress Court,"Boulder, CO 80304","Oct 22, 2020","$2,395,000","$2,276,400",Single Family Residential,1993,6551,6,6,Warne,Warne,"$12,036",Boulder Valley RE 2,3,3,,,
1594,265-267 S Clermont Street,"Denver, CO 80246","Apr 29, 2021","$2,490,000","$2,275,000",Single Family Residential,1952,3786,6,4,Hilltop,Hilltop,"$5,416",Denver 1,2,2,"Finished, Partial",,Cash
1595,6565 Rookery Road,"Fort Collins, CO 80528","Mar 08, 2021","$2,350,000","$2,275,000",Single Family Residential,2009,7636,5,6,Fossil Lake Ranch,Fossil Lake Ranch,"$9,407",Poudre R-1,5,5,Full,$645,
1596,5303 Westridge Drive,"Boulder, CO 80301","May 25, 2018","$2,275,000","$2,275,000",Single Family Residential,1996,6250,4,6,Waterstone,Waterstone,"$11,503",Boulder Valley RE 2,3,3,"Full, Walk-Out Access","$1,150","Cash, Conventional"
1597,704 Concord Avenue,"Boulder, CO 80304","May 31, 2019","$2,299,000","$2,275,000",Single Family Residential,1900,3287,5,4,Maxwells,Maxwells,"$7,387",Boulder Valley RE 2,1,1,Full,,"Cash, Conventional"
1598,2133 Norwood Avenue,"Boulder, CO 80304","Feb 28, 2019","$2,275,000","$2,275,000",Single Family Residential,2018,4680,4,5,Moores,Moores,"$2,764",Boulder Valley RE 2,2,2,Full,,"Cash, Conventional"
1599,13125 Piney Lake Road,"Parker, CO 80138","Nov 24, 2020","$2,000,000","$2,275,000",Single Family Residential,2015,4828,4,6,Piney Lake Farms,Piney Lake Farms,"$6,300",Douglas RE-1,3,3,Crawl Space,$100,Cash
1600,6565 Rookery Road,"Fort Collins, CO 80528","Mar 08, 2021","$2,350,000","$2,275,000",Single Family Residential,2009,7636,5,6,Fossil Lake Ranch,Fossil Lake Ranch,"$9,407",Poudre R-1,5,5,Finished,$645,Cash
1601,4954 Carefree Trail,"Parker, CO 80134","Apr 19, 2021","$2,499,000","$2,275,000",Single Family Residential,2005,9645,5,7,Pradera,Pradera,"$18,636",Douglas RE-1,5,5,"Finished, Walk-Out Access",$19,Conventional
1602,2591 S Columbine Street,"Denver, CO 80210","Sep 24, 2020","$2,425,000","$2,275,000",Single Family Residential,2017,6414,6,7,University Park,University Park,"$7,604",Denver 1,3,3,Full,,Conventional
1603,2682 S Cook Street,"Denver, CO 80210","Aug 21, 2020","$2,295,000","$2,275,000",Single Family Residential,2020,5562,6,6,Observatory Park,Observatory Park,"$2,492",Denver 1,2,2,"Full, Sump Pump",,Cash
1604,36 Sedgwick Drive,"Cherry Hills Village, CO 80113","Jun 27, 2019","$2,350,000","$2,275,000",Single Family Residential,1971,6643,5,7,Cherry Hills Village,Cherry Hills Village,"$11,679",Cherry Creek 5,3,3,"Finished, Interior Entry, Partial",$900,Conventional
1605,210 Jasmine Street,"Denver, CO 80220","Dec 20, 2019","$2,295,000","$2,275,000",Single Family Residential,2007,7579,5,9,Crestmoor,Crestmoor,"$13,357",Denver 1,4,4,"Full, Finished, Walk-Out Access",$135,Conventional
1606,1445 Pioneer Trail,"Fraser, CO 80442","Nov 21, 2019","$2,370,000","$2,275,000",Single Family Residential,2009,7573,4,5,Fraser,Fraser,"$12,015",East Grand 2,2,2,None,$71,Conventional
1607,4251 E Linden Circle,"Greenwood Village, CO 80121","Mar 22, 2019","$2,350,000","$2,275,000",Single Family Residential,2004,7945,5,7,The Preserve At Greenwood Village,The Preserve At Greenwood Village,"$11,356",Littleton 6,,,"Finished, Partial, Walk-Out Access",$500,Conventional
1608,792 S High Street,"Denver, CO 80209","Dec 07, 2018","$2,395,000","$2,275,000",Single Family Residential,2018,5488,6,6,Washington Park,Washington Park,"$3,246",Denver 1,2,2,"Full, Finished, Interior Entry, Heated",,Cash
1609,105 Fillmore Street Unit 201,"Denver, CO 80206","Nov 01, 2018","$2,499,000","$2,275,000",Condo,2009,2644,2,3,Cherry Creek,Cherry Creek,"$12,034",Denver 1,2,2,None,"$2,017",Cash
1610,5303 Westridge Drive,"Boulder, CO 80301","May 25, 2018","$2,275,000","$2,275,000",Single Family Residential,1996,6250,4,6,Waterstone,Waterstone,"$11,503",Boulder Valley RE 2,3,3,"Full, Finished, Walk-Out Access","$1,150",Cash
1611,2960 High Prairie Way,"Broomfield, CO 80023","Nov 06, 2020","$2,350,000","$2,270,000",Single Family Residential,2007,8631,5,7,Spruce Meadows,Spruce Meadows,"$19,732",Adams 12 5 Star Schl,4,4,,$510,
1612,5945 S Race Court,"Centennial, CO 80121","Sep 24, 2020","$2,350,000","$2,270,000",Single Family Residential,2012,5883,4,4,Orchard Park,Orchard Park,"$13,318",Littleton 6,3,3,"Full, Finished",$450,Cash
1613,2139 S Columbine Street,"Denver, CO 80210","Oct 05, 2020","$2,300,000","$2,270,000",Single Family Residential,2016,6022,6,6,Observatory Park,Observatory Park,"$8,840",Denver 1,3,3,"Full, Finished, Sump Pump",,Conventional
1614,6056 Stone Creek Drive,"Evergreen, CO 80439","Feb 14, 2020","$2,395,000","$2,270,000",Single Family Residential,2015,5320,5,7,Cub Creek Ranch,Cub Creek Ranch,"$7,290",Jefferson County R-1,4,4,"Exterior Entry, Finished, Partial, Walk-Out Access, Heated","$2,500",Cash
1615,5701 S Aspen Court,"Greenwood Village, CO 80121","Apr 01, 2019","$2,495,000","$2,270,000",Single Family Residential,1998,10166,6,8,The Preserve,The Preserve,"$11,258",Littleton 6,4,4,"Exterior Entry, Full, Finished, Sump Pump, Walk-Out Access",$600,Conventional
1616,1265 S Vine Street,"Denver, CO 80210","Nov 08, 2019","$2,375,000","$2,266,750",Single Family Residential,2015,5364,6,5,Washington Park,Washington Park,"$12,846",Denver 1,3,3,"Full, Finished",,Conventional
1617,6501 Engh Place,"Timnath, CO 80547","Feb 11, 2021","$2,499,900","$2,265,000",Single Family Residential,2007,7793,4,6,Harmony Club,Harmony Club,"$16,487",Poudre R-1,3,3,Full,$203,
1618,7329 Eagle Moon Court,"Parker, CO 80134","Dec 21, 2020","$2,295,000","$2,265,000",Single Family Residential,2018,8962,5,6,Colorado Golf Club,Colorado Golf Club,"$3,888",Douglas RE-1,4,4,"Exterior Entry, Full, Finished, Interior Entry, Walk-Out Access, Heated",$320,Conventional
1619,5900 S Watson Lane,"Littleton, CO 80123","Jan 31, 2020","$2,350,000","$2,265,000",Single Family Residential,2009,8842,5,6,Watson Lane,Watson Lane,"$11,072",Littleton 6,4,4,"Full, Finished, Walk-Out Access","$1,000",Conventional
1620,975 S Jackson Street,"Denver, CO 80209","Feb 08, 2019","$2,265,000","$2,265,000",Single Family Residential,1955,4401,4,5,Belcaro,Belcaro,"$5,538",Denver 1,2,2,"Full, Finished, Interior Entry",$150,Cash
1621,456 Madison Street,"Denver, CO 80206","Aug 17, 2020","$2,675,000","$2,262,500",Single Family Residential,2006,5415,5,6,Cherry Creek,Cherry Creek,"$18,194",Denver 1,3,3,"Full, Sump Pump",,Cash
1622,735 Pine Street,"Boulder, CO 80302","Aug 15, 2018","$2,375,000","$2,260,000",Single Family Residential,1905,3430,5,5,Boulder O T East & West & North,Boulder O T East & West & North,"$13,087",Boulder Valley RE 2,1,1,Partial,,
1623,5085 Knobcone Drive,"Castle Rock, CO 80108","Dec 28, 2020","$2,400,000","$2,260,000",Single Family Residential,2007,8540,7,8,Timber Canyon,Timber Canyon,"$9,055",Douglas RE-1,4,4,"Exterior Entry, Full, Finished, Interior Entry, Walk-Out Access, Sump Pump","$1,040",Cash
1624,155 Steele Street Unit 716,"Denver, CO 80206","Nov 08, 2019","$2,260,000","$2,260,000",Condo,2019,1950,,,Cherry Creek North,Cherry Creek North,,Denver 1,2,2,,$953,Conventional
1625,4400 S Downing Street,"Cherry Hills Village, CO 80113","Nov 10, 2020","$2,375,000","$2,260,000",Single Family Residential,1957,4438,,,Cherry Hills Village,Cherry Hills Village,"$12,772",Cherry Creek 5,2,2,"Finished, Interior Entry, Partial",,Cash
1626,2821 E Cedar Avenue Unit 7,"Denver, CO 80209","Apr 09, 2020","$2,299,000","$2,260,000",Single Family Residential,2019,5847,5,7,Cherry Creek,Cherry Creek,"$9,733",Denver 1,3,3,"Finished, None",$289,Conventional
1627,39 Sedgwick Drive,"Cherry Hills Village, CO 80113","Aug 16, 2019","$2,285,000","$2,260,000",Single Family Residential,1967,6645,5,8,Devonshire Heights,Devonshire Heights,"$10,529",Cherry Creek 5,2,2,"Exterior Entry, Full, Finished, Walk-Out Access",$900,Cash
1628,36 Cherry Hills Farm Drive,"Cherry Hills Village, CO 80113","Oct 11, 2018","$2,295,000","$2,260,000",Single Family Residential,1992,8962,5,7,Cherry Hills Village,Cherry Hills Village,"$17,571",Cherry Creek 5,4,4,"Daylight, Finished, Partial",$14,Conventional
1629,743 Utica Avenue,"Boulder, CO 80304","Mar 28, 2019","$2,279,500","$2,259,500",Single Family Residential,2005,3565,4,4,Rebeccas Landing,Rebeccas Landing,,Boulder Valley RE 2,3,3,None,,
1630,743 Utica Avenue,"Boulder, CO 80304","Mar 28, 2019","$2,279,500","$2,259,500",Single Family Residential,2005,3565,4,4,Rebeccas Landing,Rebeccas Landing,"$11,991",Boulder Valley RE 2,3,3,None,,Cash
1631,190 Jasmine Street,"Denver, CO 80220","Jul 16, 2018","$2,250,000","$2,258,900",Single Family Residential,2005,7633,6,6,Crestmoor,Crestmoor,"$10,631",Denver 1,2,2,"Full, Finished, Sump Pump, Heated",$125,Conventional
1632,2880 Juilliard Street,"Boulder, CO 80305","Feb 26, 2021","$2,378,500","$2,255,522",Single Family Residential,1974,4641,4,4,Rolling Hills,Rolling Hills,"$10,990",Boulder Valley RE 2,2,2,"Partial, Walk-Out Access",,
1633,140 Jersey Street,"Denver, CO 80220","Jul 10, 2020","$2,195,000","$2,255,000",Single Family Residential,2005,7679,5,8,Crestmoor Park,Crestmoor Park,"$11,859",Denver 1,3,3,Full,$125,Conventional
1634,670 Ash Street,"Denver, CO 80220","Aug 16, 2019","$2,375,000","$2,255,000",Single Family Residential,2016,6080,5,7,Hilltop,Hilltop,"$7,655",Denver 1,2,2,"Full, Finished, Interior Entry, Sump Pump, Heated",,Cash
1635,37072 Soaring Eagle Circle,"Severance, CO 80550","Jul 31, 2020","$2,398,000","$2,254,000",Single Family Residential,2020,5940,4,5,Soaring Eagle Ranch,Soaring Eagle Ranch,"$4,121",Windsor RE-4,3,3,"Full, Walk-Out Access",$714,"Cash, Conventional"
1636,37072 Soaring Eagle Circle,"Severance, CO 80550","Jul 31, 2020","$2,398,000","$2,254,000",Single Family Residential,2019,5940,4,5,Soaring Eagle Ranch,Soaring Eagle Ranch,"$4,121",Windsor RE-4,3,3,"Full, Finished",$714,Conventional
1637,2707 Willow Creek Drive,"Boulder, CO 80301","Nov 16, 2018","$2,500,000","$2,252,500",Single Family Residential,1989,10093,4,6,Fox Run,Fox Run,"$17,573",Boulder Valley RE 2,6,6,Full,$175,"Cash, Conventional"
1638,1746 Meade Street,"Denver, CO 80204","Sep 05, 2019","$2,250,000","$2,252,500",Single Family Residential,2015,3963,4,5,Sloans Lake,Sloans Lake,"$8,102",Denver 1,3,3,"Finished, Interior Entry, Partial",,Conventional
1639,2707 Willow Creek Drive,"Boulder, CO 80301","Nov 16, 2018","$2,500,000","$2,252,500",Single Family Residential,1989,10093,4,6,Boulder,Boulder,"$17,573",Boulder Valley RE 2,6,6,Full,$175,Conventional
1640,31645 Aspen Ridge Road,"Steamboat Springs, CO 80487","Mar 01, 2021","$2,425,000","$2,252,250",Single Family Residential,1996,4512,4,5,Dakota Ridge,Dakota Ridge,"$6,273",Steamboat Springs RE-2,2,2,,"$3,675",Cash
1641,4590 S Downing Circle,"Cherry Hills Village, CO 80113","Aug 14, 2018","$2,275,000","$2,251,500",Single Family Residential,1975,5236,4,5,Cherry Hills Village,Cherry Hills Village,"$8,499",Cherry Creek 5,2,2,"Full, Finished",,Conventional
1642,5000 S Franklin Street,"Englewood, CO 80113","Apr 12, 2021","$2,250,000","$2,250,000",Single Family Residential,1954,5296,5,5,Cherry Hills Village,Cherry Hills Village,"$7,524",Cherry Creek 5,4,4,"Finished, Partial",,Conventional
1643,15645 Headlight Road,"Strasburg, CO 80136","Apr 15, 2020","$2,625,000","$2,250,000",Single Family Residential,1971,2216,3,2,,,"$8,726",Strasburg 31-J,2,2,None,,"Cash, Conventional"
1644,15345 N 95th Street,"Longmont, CO 80504","Mar 31, 2021","$2,450,000","$2,250,000",Single Family Residential,1972,3556,4,3,Northern Plains,Northern Plains,"$4,776",Thompson R2-J,2,2,Full,,
1645,150 Jade Road,"Silverthorne, CO 80498","Apr 09, 2021","$2,250,000","$2,250,000",Single Family Residential,1991,3926,3,3,Ruby Ranch,Ruby Ranch,"$10,610",Summit RE-1,3,3,"Daylight, Exterior Entry, Finished, Bath/Stubbed, Walk-Out Access",,Cash
1646,9505 Alkire Street,"Arvada, CO 80005","Mar 19, 2021","$2,500,000","$2,250,000",Single Family Residential,2018,5555,5,7,Cameo Estates,Cameo Estates,"$5,569",Jefferson County R-1,,,,,Conventional
1647,3010 Washington Street,"Boulder, CO 80304","Jun 26, 2019","$2,250,000","$2,250,000",Single Family Residential,2006,3664,4,3,Bonsall,Bonsall,"$8,285",Boulder Valley RE 2,2,2,None,,
1648,139 Eagles Drive,"Boulder, CO 80302","Feb 05, 2021","$2,250,000","$2,250,000",Single Family Residential,1963,2572,4,4,Seven Hills,Seven Hills,"$6,556",Boulder Valley RE 2,2,2,"Daylight, Partial, Sump Pump, Walk-Out Access",,
1649,603 Kalmia Avenue,"Boulder, CO 80304","Apr 21, 2021","$2,490,000","$2,250,000",Single Family Residential,1971,3401,3,5,Foothills,Foothills,"$11,010",Boulder Valley RE 2,1,1,Partial,,
1650,5232 Indian Creek Road,"Loveland, CO 80538","Feb 15, 2019","$2,485,000","$2,250,000",Single Family Residential,2001,7001,5,7,Indian Creek,Indian Creek,"$9,513",Thompson R2-J,3,3,,"$2,500","Cash, Conventional"
1651,90 Cessna Drive,"Erie, CO 80516","Jul 19, 2019","$3,000,000","$2,250,000",Single Family Residential,2008,5831,3,5,Erie Air Park,Erie Air Park,"$6,904",St. Vrain Valley RE-1J,12,12,"Full, Sump Pump",,"Cash, Conventional"
1652,4300 Sunshine Canyon Drive,"Boulder, CO 80302","Jul 13, 2018","$2,790,000","$2,250,000",Single Family Residential,1984,6323,4,5,Ponderoski Estates,Ponderoski Estates,,Boulder Valley RE 2,3,3,"Crawl Space, Daylight, Walk-Out Access",,"Cash, Conventional"
1653,919 Balsam Avenue,"Boulder, CO 80304","Dec 18, 2018","$2,250,000","$2,250,000",Single Family Residential,2018,3574,4,5,Newlands,Newlands,"$3,606",Boulder Valley RE 2,2,2,None,,"Cash, Conventional"
1654,2245 Hillsdale Circle,"Boulder, CO 80305","Apr 26, 2019","$2,350,000","$2,250,000",Single Family Residential,2015,5069,5,5,Table Mesa,Table Mesa,"$12,959",Boulder Valley RE 2,3,3,"Full, Bath/Stubbed, Sump Pump, Unfinished, Walk-Out Access",,"Cash, Conventional, FHA, VA"
1655,1605 Creedmoor Court,"Castle Rock, CO 80109","Feb 05, 2021","$2,250,000","$2,250,000",Single Family Residential,2002,9269,5,8,Keene Ranch,Keene Ranch,"$9,768",Douglas RE-1,4,4,"Full, Finished, Walk-Out Access",$295,Cash
1656,30545 Golden Eye Court,"Evergreen, CO 80439","Feb 26, 2021","$2,250,000","$2,250,000",Single Family Residential,2006,6981,4,5,Troutdale In The Pines,Troutdale In The Pines,"$10,103",Jefferson County R-1,3,3,"Full, Finished, Bath/Stubbed, Sump Pump","$2,800",Conventional
1657,1433 E 7th Avenue,"Denver, CO 80218","Feb 01, 2021","$2,295,000","$2,250,000",Single Family Residential,1900,6118,5,4,7th Avenue Historic District,7th Avenue Historic District,"$13,779",Denver 1,2,2,"Full, Interior Entry",,Conventional
1658,7 Broadmoor Avenue,"Colorado Springs, CO 80906","Dec 04, 2020","$2,375,000","$2,250,000",Single Family Residential,1960,6237,5,5,Broadmoor,Broadmoor,"$9,307",Cheyenne Mountain 12,3,3,Partial,,Cash
1659,1735 19th Street Unit 4C/D,"Denver, CO 80202","Sep 30, 2020","$2,250,000","$2,250,000",Condo,1997,5358,,,Lodo,Lodo,"$5,293",Denver 1,,,None,"$1,909",Cash
1660,1025 S Monroe Street,"Denver, CO 80209","Dec 18, 2020","$2,295,000","$2,250,000",Single Family Residential,2020,5078,5,6,Bonnie Brae,Bonnie Brae,"$2,781",Denver 1,2,2,"Full, Finished",,Conventional
1661,1160 Fairway Woods,"Steamboat Springs, CO 80487","Feb 03, 2021","$2,360,000","$2,250,000",Single Family Residential,1997,7905,6,5,Fairway Meadows,Fairway Meadows,"$7,572",Steamboat Springs RE-2,3,3,"Exterior Entry, Full, Finished, Walk-Out Access",,Conventional
1662,1399 Griffith Street,"Georgetown, CO 80444","Dec 16, 2020","$2,250,000","$2,250,000",Multifamily,2018,8260,,,,,$949,,,,,,Other
